09:12:46 19-08-2022 test
09:29:11 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
09:29:24 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
09:31:38 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
09:31:51 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
09:37:33 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
09:37:45 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
09:38:12 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
09:38:15 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
09:38:17 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
09:38:19 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
09:38:54 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
09:38:56 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
09:38:58 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
09:39:05 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
09:39:08 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
09:39:10 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
09:39:56 19-08-2022 /bin/python3 /home/user/Documents/DCI_CODE/AJ2/aj2.py
